SRR34280206	SAMN49688505	S_R006	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280206.fastq	Uganda
SRR34280207	SAMN49688504	S_R005	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280207.fastq	Uganda
SRR34280208	SAMN49687982	S_C074	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280208.fastq	Cote_dIvoire
SRR34280209	SAMN49688503	S_R004	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280209.fastq	Uganda
SRR34280210	SAMN49688502	S_R003	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280210.fastq	Uganda
SRR34280211	SAMN49688501	S_R002	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280211.fastq	Uganda
SRR34280212	SAMN49688500	S_R001	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280212.fastq	Uganda
SRR34280213	SAMN49688499	S_P329	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280213.fastq	Tanzania
SRR34280214	SAMN49688498	S_P327	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280214.fastq	Tanzania
SRR34280215	SAMN49688497	S_P326	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280215.fastq	Tanzania
SRR34280216	SAMN49688496	S_P323	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280216.fastq	Tanzania
SRR34280217	SAMN49688495	S_P322	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280217.fastq	Tanzania
SRR34280218	SAMN49688494	S_P321	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280218.fastq	Tanzania
SRR34280219	SAMN49687981	S_C073	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280219.fastq	Cote_dIvoire
SRR34280220	SAMN49688493	S_P319	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280220.fastq	Tanzania
SRR34280221	SAMN49688492	S_P317	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280221.fastq	Tanzania
SRR34280222	SAMN49688491	S_P309	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280222.fastq	Tanzania
SRR34280223	SAMN49688490	S_P306	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280223.fastq	Tanzania
SRR34280224	SAMN49688489	S_P304	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280224.fastq	Tanzania
SRR34280225	SAMN49688488	S_P300	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280225.fastq	Tanzania
SRR34280226	SAMN49688487	S_P299	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280226.fastq	Tanzania
SRR34280227	SAMN49688400	S_P112	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280227.fastq	Tanzania
SRR34280228	SAMN49688399	S_P111	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280228.fastq	Tanzania
SRR34280229	SAMN49688398	S_P110	/data/pam/team333/jg34/scratch/ITS_trichuris/00_raw/fastq/SRR34280229.fastq	Tanzania
